source_value,domain,record_count,source_code,source_name,mapping_key,concept_id,concept_name,vocabulary_id,confidence,reasoning,source_is_ndc,ndc_normalized,tool_calls,timestamp,model
"24385013778","drug",3779,NA,NA,NA,19077344,"ferrous sulfate 325 MG Oral Tablet","RxNorm",0.9,"The source value '24385013778' maps to 'ferrous sulfate 325 MG Oral Tablet' with a high confidence as it is a standard concept in the RxNorm vocabulary and matches the dosage form and strength.",NA,NA,1,"2026-02-23T19:58:27","gpt-4o"
"548686054*0","drug",3670,NA,NA,NA,1567232,"insulin aspart, human 100 UNT/ML Injectable Solution [NovoLog]","RxNorm",0.9,"The search for the source value '548686054' led to a high-confidence match with the branded drug 'insulin aspart, human 100 UNT/ML Injectable Solution [NovoLog]', which is a standard concept in the RxNorm vocabulary.",NA,NA,3,"2026-02-23T19:58:50","gpt-4o"
"87277231","drug",3412,NA,NA,NA,1552310,"progesterone","RxNorm",0.7,"The search for the source code did not yield direct results, but a search for similar codes led to the ingredient 'progesterone', which is a plausible match given the context of drug domain and the partial code match.",NA,NA,6,"2026-02-23T19:59:20","gpt-4o"
"682583012*1","drug",3098,NA,NA,NA,1734134,"azithromycin 500 MG Oral Tablet","RxNorm",0.9,"The search for the source value '682583012' matched with 'azithromycin 500 MG Oral Tablet', which is a standard concept in the RxNorm vocabulary and fits the drug domain.",NA,NA,3,"2026-02-23T19:59:47","gpt-4o"
"17236096101","drug",2755,NA,NA,NA,1759456,"pyrazinamide 500 MG Oral Tablet","RxNorm",0.9,"The source value '17236096101' maps to 'pyrazinamide 500 MG Oral Tablet' with a high confidence score, and it is a standard concept in the RxNorm vocabulary.",NA,NA,1,"2026-02-23T20:00:23","gpt-4o"
"66435020209","drug",2458,NA,NA,NA,19047523,"interferon alfacon-1 0.03 MG/ML Injectable Solution [Infergen]","RxNorm",0.9,"The source value '66435020209' maps to the branded drug 'interferon alfacon-1 0.03 MG/ML Injectable Solution [Infergen]' with a high confidence score, confirming it as a standard concept in the RxNorm vocabulary.",NA,NA,1,"2026-02-23T20:01:31","gpt-4o"
"21695009215","drug",2011,NA,NA,NA,19123106,"esomeprazole 40 MG Delayed Release Oral Capsule [Nexium]","RxNorm",0.9,"The source value '21695009215' maps to the RxNorm concept for 'esomeprazole 40 MG Delayed Release Oral Capsule [Nexium]', which is a standard concept in the drug domain.",NA,NA,1,"2026-02-23T20:01:49","gpt-4o"
"59630*70248","drug",7153,NA,NA,NA,19125148,"prednisolone 30 MG Disintegrating Oral Tablet [Orapred]","RxNorm",1,"The source value is an NDC code that maps directly to a standard RxNorm concept for the same drug formulation.",TRUE,"59630070248",3,"2026-02-23T20:57:18","gpt-4o"
"944262001","drug",5186,NA,NA,NA,40220626,"immunoglobulin G, human 100 MG/ML Injection [Gammagard]","RxNorm",1,"The source value is an NDC code that directly maps to a standard RxNorm concept for the same drug.",TRUE,"944262001",3,"2026-02-23T20:57:26","gpt-4o"
"33413005004","drug",4984,NA,NA,NA,NA,"NA","NA",0,"The source value '33413005004' appears to be an NDC code, but it could not be found in the NDC or RxNorm vocabularies using the available search methods.",TRUE,"33413005004",3,"2026-02-23T20:57:33","gpt-4o"
"26440005","drug",4978,NA,NA,NA,NA,"NA","NA",0,"The source value '00026440005' appears to be an NDC code, but it could not be found in the NDC or RxNorm vocabularies after trying multiple normalizations and searches.",TRUE,"NA",3,"2026-02-23T20:57:42","gpt-4o"
"52959*39115","drug",4505,NA,NA,NA,752095,"prochlorperazine 10 MG Oral Tablet","RxNorm",1,"The source value is an NDC code that maps directly to the standard RxNorm concept for prochlorperazine 10 MG Oral Tablet.",TRUE,"52959039115",3,"2026-02-23T20:57:51","gpt-4o"
"545693787*0","drug",4408,NA,NA,NA,40167218,"metoprolol tartrate 50 MG Oral Tablet","RxNorm",1,"The source value '545693787*0' is an NDC code that maps directly to the standard RxNorm concept for 'metoprolol tartrate 50 MG Oral Tablet'.",TRUE,"54569378700",3,"2026-02-23T20:57:58","gpt-4o"
"545695435*0","drug",4281,NA,NA,NA,19080129,"lisinopril 20 MG Oral Tablet","RxNorm",1,"The source value '545695435*0' is an NDC code that maps directly to the standard RxNorm concept for 'lisinopril 20 MG Oral Tablet'.",TRUE,"54569543500",3,"2026-02-23T20:58:09","gpt-4o"
"47007824","drug",4175,NA,NA,NA,19019309,"nifedipine 10 MG Oral Capsule","RxNorm",1,"The source value is an NDC code that maps directly to a standard RxNorm concept for the same drug formulation.",TRUE,"47007824",3,"2026-02-23T20:58:15","gpt-4o"
"68050861","drug",4168,NA,NA,NA,19025865,"rifampin 300 MG Oral Capsule [Rifadin]","RxNorm",1,"The source value is an NDC code that directly maps to a standard RxNorm concept for the same drug and dosage.",TRUE,"68050861",3,"2026-02-23T20:58:21","gpt-4o"
"264400155","drug",3799,NA,NA,NA,40221387,"500 ML sodium chloride 9 MG/ML Injection","RxNorm",0.9,"The source value '00264400155' is an NDC code for '500 ML Sodium Chloride 9 MG/ML Injection'. The corresponding standard RxNorm concept is '500 ML sodium chloride 9 MG/ML Injection'.",TRUE,"264400155",3,"2026-02-23T20:58:28","gpt-4o"
"517010125","drug",3771,NA,NA,NA,40243436,"1 ML atropine sulfate 1 MG/ML Injection","RxNorm",1,"The source value is an NDC code that directly maps to a standard RxNorm concept for the same drug formulation.",TRUE,"517010125",3,"2026-02-23T20:58:36","gpt-4o"
